#TYPE System.Management.Automation.PSCustomObject
"Article","LineNumber","Term","Line"
"\insights\containers.md","3","log analytics","description: The Container Monitoring solution in Log Analytics helps you view and manage your Docker and Windows container hosts in a single location."
"\insights\containers.md","18","log analytics","# Container Monitoring solution in Log Analytics"
"\insights\containers.md","22","log analytics","This article describes how to set up and use the Container Monitoring solution in Log Analytics, which helps you view and manage your Docker and Windows container hosts in a single location. Docker is a software virtualization system used to create containers that automate software deployment to their IT infrastructure."
"\insights\containers.md","34","log analytics","The following diagram shows the relationships between various container hosts and agents with Log Analytics."
"\insights\containers.md","43","log analytics","The following table outlines the Docker orchestration and operating system monitoring support of container inventory, performance, and logs with Log Analytics.   "
"\insights\containers.md","75","log analytics","    - Kubernetes events, Kubernetes inventory, and container processes are only supported with version 1.4.1-45 and later of the Log Analytics agent for Linux"
"\insights\containers.md","93","log analytics","1. Add the Container Monitoring solution to your Log Analytics workspace from [Azure marketplace](https://azuremarketplace.microsoft.com/marketplace/apps/Microsoft.ContainersOMS?tab=Overview) or by using the process described in [Add Log Analytics solutions from the Solutions Gallery](../../azure-monitor/insights/solutions.md)."
"\insights\containers.md","95","log analytics","2. Install and use Docker with a Log Analytics agent. Based on your operating system and Docker orchestrator, you can use the following methods to configure your agent."
"\insights\containers.md","97","log analytics","    - On supported Linux operating systems, install and run Docker and then install and configure the [Log Analytics agent for Linux](../../azure-monitor/learn/quick-collect-linux-computer.md).  "
"\insights\containers.md","98","log analytics","    - On CoreOS, you cannot run the Log Analytics agent for Linux. Instead, you run a containerized version of the Log Analytics agent for Linux. Review [Linux container hosts including CoreOS](#for-all-linux-container-hosts-including-coreos) or [Azure Government Linux container hosts including CoreOS](#for-all-azure-government-linux-container-hosts-including-coreos) if you are working with containers in Azure Government Cloud."
"\insights\containers.md","99","log analytics","    - On Windows Server 2016 and Windows 10, install the Docker Engine and client then connect an agent to gather information and send it to Log Analytics. Review [Install and configure Windows container hosts](#install-and-configure-windows-container-hosts) if you have a Windows environment."
"\insights\containers.md","101","log analytics","    - If you have a Red Hat OpenShift environment, review [Configure a Log Analytics agent for Red Hat OpenShift](#configure-an-oms-agent-for-red-hat-openshift)."
"\insights\containers.md","103","log analytics","       - Review [Configure a Log Analytics Linux agent for Kubernetes](#configure-an-oms-linux-agent-for-kubernetes)."
"\insights\containers.md","104","log analytics","       - Review [Configure an Log Analytics Windows agent for Kubernetes](#configure-an-oms-windows-agent-for-kubernetes)."
"\insights\containers.md","105","log analytics","       - Review [Use Helm to deploy Log Analytics agent on Linux Kubernetes](#use-helm-to-deploy-oms-agent-on-linux-kubernetes)."
"\insights\containers.md","106","log analytics","    - If you have an Azure Container Service DC/OS cluster, learn more at [Monitor an Azure Container Service DC/OS cluster with Log Analytics](../../container-service/dcos-swarm/container-service-monitoring-oms.md)."
"\insights\containers.md","107","log analytics","    - If you have a Docker Swarm mode environment, learn more at [Configure an Log Analytics agent for Docker Swarm](#configure-an-oms-agent-for-docker-swarm)."
"\insights\containers.md","108","log analytics","    - If you have a Service Fabric cluster, learn more at [Monitor containers with Log Analytics Log Analytics](../../service-fabric/service-fabric-diagnostics-oms-containers.md)."
"\insights\containers.md","113","log analytics","> Docker must be running **before** you install the [Log Analytics agent for Linux](../../azure-monitor/learn/quick-collect-linux-computer.md) on your container hosts. If you've already installed the agent before installing Docker, you need to reinstall the Log Analytics agent for Linux. For more information about Docker, see the [Docker website](https://www.docker.com)."
"\insights\containers.md","118","log analytics","After you've installed Docker, use the following settings for your container host to configure the agent for use with Docker. First you need your Log Analytics workspace ID and key, which you can find in the Azure portal. In your workspace, click **Quick Start** > **Computers** to view your **Workspace ID** and **Primary Key**.  Copy and paste both into your favorite editor."
"\insights\containers.md","122","log analytics","- For more information and steps on how to install the Log Analytics agent for Linux, see [Log Analytics agent overview](../../azure-monitor/platform/log-analytics-agent.md)."
